"ID","好きな動物","動物占いの判定","誕生月","セロリ嗜好","所持金の増加（差）","所持金の増加（比）"
"friend001","ライオン","虎","1","好き","1000","1.5"
"friend003","チータ","チータ","3","超嫌い","-1000","0.7"
"friend004","ペガサス","猿","4","ふつう","-10000","0.9"
"friend005","黒ひょう","ひつじ","2","嫌い","150","1.001"
"friend0200","ゾウ","たぬき","7","好き","-300","0.8"
"umi03","子守熊","虎","4","超好き","-150","0.99"
"dorawemon","たぬき","ライオン","9","好き","1000","1.02"
"nobita","虎","チータ","8","嫌い","-10000","0.5"
"shizuka","たぬき","ライオン","9","超嫌い","2000","1.5"
"suneo","ライオン","チータ","1","嫌い","-300","0.999"